주차장명,소재지지번주소,주차구획수,위도,경도,읍면동_추출,행정구역_그룹,시간대,혼잡지수_v3
교하1,경기도 파주시 다율동 999-12,10,37.7274893893,126.7164492301,다율동,운정,00-06시,139.85962828990756
교하1,경기도 파주시 다율동 999-12,10,37.7274893893,126.7164492301,다율동,운정,06-09시,131.15411921120486
교하1,경기도 파주시 다율동 999-12,10,37.7274893893,126.7164492301,다율동,운정,12-15시,67.77905888253721
교하1,경기도 파주시 다율동 999-12,10,37.7274893893,126.7164492301,다율동,운정,18-21시,107.43072866526477
교하1-1,경기도 파주시 서패동 52-2,40,37.711436377,126.701574461,서패동,교하동,00-06시,106.42595200010116
교하1-1,경기도 파주시 서패동 52-2,40,37.711436377,126.701574461,서패동,교하동,06-09시,172.85447511263808
교하1-1,경기도 파주시 서패동 52-2,40,37.711436377,126.701574461,서패동,교하동,12-15시,522.4870494277878
교하1-1,경기도 파주시 서패동 52-2,40,37.711436377,126.701574461,서패동,교하동,18-21시,141.22407952012895
교하2,경기도 파주시 다율동 991-12,10,37.7281023129,126.7164541199,다율동,운정,00-06시,139.85962828990756
교하2,경기도 파주시 다율동 991-12,10,37.7281023129,126.7164541199,다율동,운정,06-09시,131.15411921120486
교하2,경기도 파주시 다율동 991-12,10,37.7281023129,126.7164541199,다율동,운정,12-15시,67.77905888253721
교하2,경기도 파주시 다율동 991-12,10,37.7281023129,126.7164541199,다율동,운정,18-21시,107.43072866526477
교하2-1,경기도 파주시 서패동 8-4,105,37.7104115313,126.7032985707,서패동,교하동,00-06시,106.42595200010116
교하2-1,경기도 파주시 서패동 8-4,105,37.7104115313,126.7032985707,서패동,교하동,06-09시,172.85447511263808
교하2-1,경기도 파주시 서패동 8-4,105,37.7104115313,126.7032985707,서패동,교하동,12-15시,522.4870494277878
교하2-1,경기도 파주시 서패동 8-4,105,37.7104115313,126.7032985707,서패동,교하동,18-21시,141.22407952012895
심학산 배수지 입구,경기도 파주시 동패동 643-3,96,37.7067901033,126.7148537027,동패동,운정,00-06시,139.85962828990756
심학산 배수지 입구,경기도 파주시 동패동 643-3,96,37.7067901033,126.7148537027,동패동,운정,06-09시,131.15411921120486
심학산 배수지 입구,경기도 파주시 동패동 643-3,96,37.7067901033,126.7148537027,동패동,운정,12-15시,67.77905888253721
심학산 배수지 입구,경기도 파주시 동패동 643-3,96,37.7067901033,126.7148537027,동패동,운정,18-21시,107.43072866526477
운정1,경기도 파주시 야당동 1002,50,37.7129506333,126.7467814634,야당동,운정,00-06시,139.85962828990756
운정1,경기도 파주시 야당동 1002,50,37.7129506333,126.7467814634,야당동,운정,06-09시,131.15411921120486
운정1,경기도 파주시 야당동 1002,50,37.7129506333,126.7467814634,야당동,운정,12-15시,67.77905888253721
운정1,경기도 파주시 야당동 1002,50,37.7129506333,126.7467814634,야당동,운정,18-21시,107.43072866526477
운정2,경기도 파주시 와동동 1304-2,183,37.7304233721,126.7518587267,와동동,운정,00-06시,139.85962828990756
운정2,경기도 파주시 와동동 1304-2,183,37.7304233721,126.7518587267,와동동,운정,06-09시,131.15411921120486
운정2,경기도 파주시 와동동 1304-2,183,37.7304233721,126.7518587267,와동동,운정,12-15시,67.77905888253721
운정2,경기도 파주시 와동동 1304-2,183,37.7304233721,126.7518587267,와동동,운정,18-21시,107.43072866526477
한울마을,경기도 파주시 동패동 1892,52,37.7114234036,126.7391388443,동패동,운정,00-06시,139.85962828990756
한울마을,경기도 파주시 동패동 1892,52,37.7114234036,126.7391388443,동패동,운정,06-09시,131.15411921120486
